gene_id,HBR1,HBR2,UHRR1,UHRR2
ENSG00000225373.4,10,5,28,19
ENSG00000267588.2,0,4,3,2
ENSG00000233630.4,0,2,1,1
ENSG00000266945.2,0,0,1,0
ENSG00000267310.1,0,0,0,0
ENSG00000176695.5,0,0,4,2
ENSG00000267792.1,0,0,0,0
ENSG00000266971.1,1,1,3,5
ENSG00000267616.1,2,0,2,1
ENSG00000267290.1,1,1,4,5
ENSG00000267237.2,2,4,4,3
ENSG00000267639.2,2,6,9,13
ENSG00000272098.1,20,12,34,42
ENSG00000267029.3,0,0,0,0
ENSG00000206082.8,31,26,80,101
ENSG00000222329.1,0,0,1,0
ENSG00000267600.1,3,5,0,6
ENSG00000267305.1,1,0,2,0
ENSG00000271846.1,0,0,0,0
ENSG00000267447.1,0,1,0,2
ENSG00000141934.5,52,42,109,94
ENSG00000267124.2,0,0,0,0
ENSG00000105556.6,63,54,171,171
ENSG00000105549.6,1,1,4,1
ENSG00000267443.1,0,0,1,0
ENSG00000183186.6,149,118,15,16
ENSG00000129946.6,249,222,75,82
ENSG00000252539.1,0,0,0,0
ENSG00000181781.5,7,2,1,0
ENSG00000099866.10,15,20,14,7
ENSG00000266933.1,3,1,2,1
ENSG00000141933.8,40,30,41,39
ENSG00000099804.4,187,207,325,300
ENSG00000197540.3,2,3,23,16
ENSG00000267751.1,0,0,13,11
ENSG00000172270.14,2327,2222,3933,4016
ENSG00000099822.2,286,267,92,82
ENSG00000267036.1,4,4,0,1
ENSG00000266939.1,0,0,0,0
ENSG00000099821.9,340,359,723,728
ENSG00000272448.1,0,4,2,1
ENSG00000261204.1,3,0,0,2
ENSG00000070388.7,11,10,3,4
ENSG00000070423.13,160,134,369,375
ENSG00000267666.1,5,2,1,3
ENSG00000070404.5,43,34,289,295
ENSG00000185198.7,0,0,1,1
ENSG00000213726.4,0,0,0,0
ENSG00000099864.13,1283,1373,109,115
ENSG00000099812.6,1,0,197,163
ENSG00000272473.1,0,0,3,1
ENSG00000267530.2,0,0,15,13
ENSG00000266927.2,0,0,3,1
ENSG00000011304.12,160,169,3391,3454
ENSG00000265767.1,0,0,0,0
ENSG00000129951.14,101,141,82,101
ENSG00000263414.1,0,0,0,0
ENSG00000172232.5,3,2,61,52
ENSG00000196415.5,11,2,36,38
ENSG00000197561.2,0,1,95,90
ENSG00000197766.3,11,8,119,80
ENSG00000175221.10,290,291,425,430
ENSG00000207507.1,0,1,0,1
ENSG00000198858.5,137,152,315,300
ENSG00000116014.5,3,5,20,27
ENSG00000116017.6,20,26,576,599
ENSG00000267159.1,0,0,1,2
ENSG00000065268.6,83,97,281,277
ENSG00000269169.1,0,0,0,0
ENSG00000266990.1,0,1,1,1
ENSG00000116032.5,5,4,23,30
ENSG00000182087.8,548,625,1590,1605
ENSG00000207357.1,1,0,2,8
ENSG00000064666.10,25,23,935,980
ENSG00000267020.1,0,0,0,0
ENSG00000064687.8,86,90,449,413
ENSG00000180448.6,76,61,609,661
ENSG00000099817.7,439,400,711,794
ENSG00000167468.12,599,627,877,877
ENSG00000064932.11,83,94,776,793
ENSG00000118046.10,372,332,517,477
ENSG00000267736.1,0,0,0,0
ENSG00000099625.8,123,145,50,52
ENSG00000267778.1,16,7,0,1
ENSG00000099624.3,369,389,532,658
ENSG00000167470.8,207,204,1306,1347
ENSG00000099622.9,1015,952,709,688
ENSG00000267493.2,5,4,22,11
ENSG00000228300.9,41,40,191,160
ENSG00000160953.10,485,471,298,272
ENSG00000099617.2,2,6,39,48
ENSG00000240846.1,0,0,4,3
ENSG00000267372.1,47,42,5,12
ENSG00000267755.1,0,0,0,0
ENSG00000115286.15,194,195,173,196
ENSG00000248015.2,4,2,21,17
ENSG00000130005.7,137,125,220,174
ENSG00000071626.12,224,240,1385,1380
ENSG00000267759.1,1,0,9,5
ENSG00000115268.5,478,493,1760,1816
ENSG00000268798.1,4,9,13,11
ENSG00000115266.7,2050,2048,151,183
ENSG00000267317.1,5,4,27,19
ENSG00000119559.11,91,101,210,162
ENSG00000115257.11,21,25,60,65
ENSG00000267715.1,0,0,1,4
ENSG00000115255.6,49,59,103,109
ENSG00000185761.6,6,13,50,53
ENSG00000267092.1,0,0,0,2
ENSG00000185988.7,11,15,9,6
ENSG00000266399.1,0,0,0,0
ENSG00000181588.15,87,79,298,282
ENSG00000222720.1,0,0,0,0
ENSG00000239367.2,0,0,0,0
ENSG00000267161.1,7,4,26,22
ENSG00000071655.13,270,309,519,579
ENSG00000267059.2,8,7,6,8
ENSG00000266926.1,0,0,3,1
ENSG00000127540.7,61,53,71,64
ENSG00000071564.10,132,134,1522,1509
ENSG00000252933.1,0,0,2,0
ENSG00000267073.1,0,0,0,2
ENSG00000205922.4,0,0,3,0
ENSG00000130270.12,3,1,86,87
ENSG00000267007.1,0,0,0,0
ENSG00000079313.7,271,305,358,346
ENSG00000223244.1,0,0,0,0
ENSG00000267244.1,10,7,44,29
ENSG00000267125.1,0,0,0,0
ENSG00000129911.4,169,137,238,263
ENSG00000267141.1,0,0,9,9
ENSG00000261526.1,1,1,7,17
ENSG00000267232.1,0,0,0,0
ENSG00000129968.11,525,594,475,460
ENSG00000227500.5,174,158,234,268
ENSG00000213638.4,10,11,30,39
ENSG00000198683.2,0,0,0,0
ENSG00000133275.11,358,374,822,756
ENSG00000180846.4,4,2,14,14
ENSG00000133243.4,881,824,686,718
