"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000183186.6",105.729009823925,4.27208093085762,0.372653071836707,11.4639627410065,2.00143149087435e-30,1.81668396863979e-29
"ENSG00000129946.6",203.759274389621,2.74994602997471,0.223618003814111,12.2975162244122,9.34022518417714e-35,1.00195142884809e-33
"ENSG00000172270.14",3048.26431706381,0.360180957225567,0.0644909633404947,5.58498336152787,2.33722589410768e-08,1.14913606460294e-07
"ENSG00000099822.2",237.427795601112,2.83567272579243,0.206431868365236,13.736603501429,6.12840534513662e-43,1.03307404389446e-41
"ENSG00000070404.5",127.067621235319,-1.75788484291597,0.284801161103162,-6.17232330130572,6.72937170156806e-10,3.97032930392516e-09
"ENSG00000099864.13",1038.20195891147,4.73417318990523,0.132746867463636,35.6631631341666,1.47308539852902e-278,8.6912038513212e-277
"ENSG00000011304.12",1273.47338166013,-3.2133586633115,0.11412310023653,-28.1569520688759,1.96991079001513e-174,7.74831577405951e-173
"ENSG00000129951.14",122.036261379052,1.5667788773931,0.286425487616928,5.47010983704268,4.49756763055109e-08,2.12285192162011e-07
"ENSG00000116017.6",214.724394915983,-3.50957765201316,0.279952284275202,-12.5363422595371,4.72296506534441e-36,5.5730987771064e-35
"ENSG00000064666.10",339.814969821869,-4.15328271215577,0.254825024852811,-16.2985668874348,1.01033403009402e-59,1.9869902591849e-58
"ENSG00000180448.6",265.061689822932,-2.04859484307839,0.208893991165058,-9.80686343179537,1.05187324790774e-22,7.30123783841845e-22
"ENSG00000167468.12",756.317782375374,0.649411713559901,0.109835866559927,5.91256512011562,3.36820613350899e-09,1.72803619023505e-08
"ENSG00000064932.11",330.194924399369,-1.98238136555842,0.182818788879563,-10.843422482491,2.14300859994948e-27,1.58046884246274e-26
"ENSG00000099625.8",118.116325173133,2.55985915078476,0.287892251651831,8.89172645702388,6.01666624941506e-19,3.94425898572765e-18
"ENSG00000167470.8",600.426749245368,-1.52514111042236,0.132373307185771,-11.5215154992085,1.02787049576964e-30,1.01073932084015e-29
"ENSG00000099622.9",975.236795977536,1.66007902929401,0.099083509547603,16.754342239931,5.26398770882959e-63,1.55287637410473e-61
"ENSG00000160953.10",455.636707937485,1.91344439748144,0.141261734525638,13.5453837085242,8.43718669265256e-42,1.10620892192556e-40
"ENSG00000267372.1",36.4041869066494,3.5467531610657,0.577716984068865,6.13925721221815,8.290823178214e-10,4.65865302394882e-09
"ENSG00000115286.15",208.591001279997,1.24025927737691,0.206581215224755,6.00373696140542,1.92827002475283e-09,1.03425392236742e-08
"ENSG00000071626.12",638.994543940448,-1.40901078914277,0.126621768228622,-11.1277137324345,9.19640101768849e-29,7.75125228633744e-28
"ENSG00000115268.5",966.426896591116,-0.715428705821419,0.102841789991263,-6.95659523120124,3.48594648116769e-12,2.16495623567256e-11
"ENSG00000115266.7",1599.80125795869,4.78235940550781,0.110693507107602,43.2036126641015,0,0
"ENSG00000071564.10",609.011885224458,-2.34424442261787,0.14024786602829,-16.7150095684522,1.01903607184245e-62,2.40492512954818e-61
"ENSG00000129968.11",578.502124780412,1.42604608003485,0.128573986528601,11.0912488485191,1.38342766615758e-28,1.08829643071063e-27
"ENSG00000133243.4",878.000639272855,1.44540456321747,0.106384149874809,13.5866533211799,4.8055651657736e-42,7.08820861951605e-41
