"","gene_id","p_adj"
"1","ENSG00000225373.4","0.444630015768897"
"2","ENSG00000267588.2","0.704634337265659"
"3","ENSG00000233630.4","0.747672609457513"
"4","ENSG00000266945.2",NA
"5","ENSG00000267310.1","0.861235899228405"
"6","ENSG00000176695.5","0.747672609457513"
"7","ENSG00000267792.1",NA
"8","ENSG00000266971.1",NA
"9","ENSG00000267616.1",NA
"10","ENSG00000267290.1","0.965328372082486"
"11","ENSG00000267237.2","0.623729137396261"
"12","ENSG00000267639.2","0.965328372082486"
"13","ENSG00000272098.1","0.414103483280716"
"14","ENSG00000267029.3",NA
"15","ENSG00000206082.8","0.188385342621947"
"16","ENSG00000222329.1",NA
"17","ENSG00000267600.1","0.553752377690959"
"18","ENSG00000267305.1","0.617519880491972"
"19","ENSG00000271846.1",NA
"20","ENSG00000267447.1",NA
"21","ENSG00000141934.5","0.908244564148768"
"22","ENSG00000267124.2",NA
"23","ENSG00000105556.6","0.188385342621947"
"24","ENSG00000105549.6","0.984133669933156"
"25","ENSG00000267443.1",NA
"26","ENSG00000183186.6","2.46247683362738e-24"
"27","ENSG00000129946.6","4.98718748250349e-15"
"28","ENSG00000252539.1",NA
"29","ENSG00000181781.5","0.608910785423997"
"30","ENSG00000099866.10","0.0371470817815189"
"31","ENSG00000266933.1","0.346415086148109"
"32","ENSG00000141933.8","0.037752609014712"
"33","ENSG00000099804.4","0.854201961755829"
"34","ENSG00000197540.3","0.0175805930533206"
"35","ENSG00000267751.1","0.352522069429674"
"36","ENSG00000172270.14","0.328138960907529"
"37","ENSG00000099822.2","1.34163435187223e-98"
"38","ENSG00000267036.1","0.747672609457513"
"39","ENSG00000266939.1",NA
"40","ENSG00000099821.9","0.617519880491972"
"41","ENSG00000272448.1",NA
"42","ENSG00000261204.1","0.992056134789428"
"43","ENSG00000070388.7","0.00861342871096504"
"44","ENSG00000070423.13","0.965328372082486"
"45","ENSG00000267666.1","0.176967955922685"
"46","ENSG00000070404.5","4.206782278775e-10"
"47","ENSG00000185198.7","0.619187870028"
"48","ENSG00000213726.4",NA
"49","ENSG00000099864.13","0"
"50","ENSG00000099812.6","3.89972705926333e-11"
"51","ENSG00000272473.1","0.603819144345438"
"52","ENSG00000267530.2","0.30777065442201"
"53","ENSG00000266927.2","0.623729137396261"
"54","ENSG00000011304.12","4.45294732771513e-199"
"55","ENSG00000265767.1",NA
"56","ENSG00000129951.14","9.13185847955357e-14"
"57","ENSG00000263414.1",NA
"58","ENSG00000172232.5","1.73285582587224e-11"
"59","ENSG00000196415.5","3.23842948028424e-08"
"60","ENSG00000197561.2","1.67882256990964e-10"
"61","ENSG00000197766.3","0.000119178491376661"
"62","ENSG00000175221.10","0.0670675311328931"
"63","ENSG00000207507.1","0.448003363693443"
"64","ENSG00000198858.5","0.691670770937379"
"65","ENSG00000116014.5","0.260916008404964"
"66","ENSG00000116017.6","1.59238883080288e-38"
"67","ENSG00000267159.1","0.814247860750749"
"68","ENSG00000065268.6","0.00861342871096504"
"69","ENSG00000269169.1",NA
"70","ENSG00000266990.1","0.965328372082486"
"71","ENSG00000116032.5","0.0408604655474493"
"72","ENSG00000182087.8","0.0612958844846358"
"73","ENSG00000207357.1","0.947013238265447"
"74","ENSG00000064666.10","7.29214692059899e-93"
"75","ENSG00000267020.1",NA
"76","ENSG00000064687.8","2.18374208926641e-11"
"77","ENSG00000180448.6","8.21003017675522e-30"
"78","ENSG00000099817.7","0.346415086148109"
"79","ENSG00000167468.12","1.59390883528252e-13"
"80","ENSG00000064932.11","3.78980543291615e-25"
"81","ENSG00000118046.10","0.370856431136718"
"82","ENSG00000267736.1",NA
"83","ENSG00000099625.8","2.61326207417897e-18"
"84","ENSG00000267778.1","0.0372934318042232"
"85","ENSG00000099624.3","2.04803198181083e-05"
"86","ENSG00000167470.8","1.08343231998784e-09"
"87","ENSG00000099622.9","4.5625286393933e-93"
"88","ENSG00000267493.2","0.328138960907529"
"89","ENSG00000228300.9","0.0304193152921692"
"90","ENSG00000160953.10","1.437561332242e-10"
"91","ENSG00000099617.2","0.0309114096470162"
"92","ENSG00000240846.1","0.704634337265659"
"93","ENSG00000267372.1","1.437561332242e-10"
"94","ENSG00000267755.1",NA
